"Bot Name:","Travel Assistant"
"Report name:","travel assistance btest v1"
"Bot Language:","en"
"Run Type:","inDevelopment"
"Threshold Setting","Mode","minThreshold","maxThreshold","exactMatchThreshold","isActive","taskMatchTolerance","wordCoverage","suggestionsCount","pathCoverage"
"","ml","0.6","80","90","true","","","",""
"","faq","60","80","95","true","5","","3","50"
"","cs","60","80","","true","","60","",""
"","rr","","","","true","2","","",""
"","extnlu","","","","true","","","",""
"Last tested date and time:","07-23-2023 2:24:32 PM"
"Utterance count:","175"
"Percentage breakdown:","88.57% True Positive","0.00% True Negative","11.43% False Positive","0.00% False Negative"
"Success / Failure Ratio:","88.57"
"F1 Score:","0.94"
"Precision:","0.89"
"Recall:","1.00"
"Total Entities Count:","109"
"Matched Entities Count:","87"
"Entities Success / Failure Ration:","79.82"
"Utterance","ExpectedIntent","MatchedIntent","Parent Intent","TaskState","ResultType","Entity Name","Expected EntityValue","Matched EntityValue","Entity Result","Expected Entity Order","Actual Entity Order","EntityIdentifiedBy","entityIdentifiedUsing","entityNERConfidenceScore","Matched Intent's Score","Expected Intent's Score"
"What are the available cab options?","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 99; FM: 8745.71; RR: 99","ML: 99; FM: 8745.71; RR: 99"
"Is there an available cab?","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 0.975; FM: 8745.71; RR: 8745.71","ML: 0.975; FM: 8745.71; RR: 8745.71"
"Show me the available cabs","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 100; FM: 11045.71; RR: 100","ML: 100; FM: 11045.71; RR: 100"
"Can I check for cab availability?","Check cab availability","check cab availability","None","configured","TP","","","","","","","","","","ML: 98; FM: 10982.22; RR: 98","ML: 98; FM: 10982.22; RR: 98"
"Need to change my flight destination to Berlin","Change flight location","change flight location","None","configured","TP","locationEntity","Berlin","Berlin","True","locationEntity","locationEntity","ML Engine","NER","","ML: 100; RR: 100","ML: 100; RR: 100"
"Please update the destination of my booked flight","Change flight location","change flight location | change cab location","None","configured | configured","FP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100 | FM: 11429.05; RR: 11429.05","ML: 100; RR: 100"
"I want to change my flight destination my flight is AI2145","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 97; RR: 97","ML: 97; RR: 97"
"Can I please transfer my flight AI2145 to New York?","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Can I please transfer my flight AI2145 to New York?","Change flight location","change flight location","None","configured","TP","locationEntity","New York","None","False","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","","","","ML: 1; RR: 100","ML: 1; RR: 100"
"I want to change the destination of my flight AI2145 to Singapore","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"I want to change the destination of my flight AI2145 to Singapore","Change flight location","change flight location","None","configured","TP","locationEntity","Singapore","Singapore","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Can you update the location of the flight I booked?","Change flight location","change flight location","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"I wish to alter my booking to Singapore with flight number AI2145","Change flight location","change flight location","None","configured","TP","locationEntity","Singapore","Singapore","True","locationEntity,flightNumberEntity","locationEntity > flightNumberEntity","ML Engine","NER","","ML: 97; RR: 97","ML: 97; RR: 97"
"I wish to alter my booking to Singapore with flight number AI2145","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","locationEntity,flightNumberEntity","locationEntity > flightNumberEntity","ML Engine","NER","","ML: 97; RR: 97","ML: 97; RR: 97"
"Can I modify the booking of flight AI2145 and fly to Mumbai?","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Can I modify the booking of flight AI2145 and fly to Mumbai?","Change flight location","change flight location","None","configured","TP","locationEntity","Mumbai","Mumbai","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Could I get my flight AI2145 changed to Berlin? my number is 94123456789","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,locationEntity,phoneNumberEntity","flightNumberEntity > locationEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.95; RR: 95","ML: 0.95; RR: 95"
"Could I get my flight AI2145 changed to Berlin? my number is 94123456789","Change flight location","change flight location","None","configured","TP","locationEntity","Berlin","Berlin","True","flightNumberEntity,locationEntity,phoneNumberEntity","flightNumberEntity > locationEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.95; RR: 95","ML: 0.95; RR: 95"
"Could I get my flight AI2145 changed to Berlin? my number is 94123456789","Change flight location","change flight location","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","flightNumberEntity,locationEntity,phoneNumberEntity","flightNumberEntity > locationEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.95; RR: 95","ML: 0.95; RR: 95"
"I'd like to alter my flight booking destination","Change flight location","change flight location | change cab location","None","configured | configured","FP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100 | FM: 11646.67; RR: 11646.67","ML: 100; RR: 100"
"I need to change my flight booking location my contact number is 94123456789","Change flight location","change flight location","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"I'd like to switch my flight AI2145 to Singapore","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 0.995; RR: 99.5","ML: 0.995; RR: 99.5"
"I'd like to switch my flight AI2145 to Singapore","Change flight location","change flight location","None","configured","TP","locationEntity","Singapore","Singapore","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 0.995; RR: 99.5","ML: 0.995; RR: 99.5"
"Can I change my flight AI2145 to location Mumbai please?","Change flight location","change flight location","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","ML Engine","NER","","ML: 0.818; RR: 81.8","ML: 0.818; RR: 81.8"
"Can I change my flight AI2145 to location Mumbai please?","Change flight location","change flight location","None","configured","TP","locationEntity","Mumbai","Mumbai","True","flightNumberEntity,locationEntity","flightNumberEntity > locationEntity","FM Engine","Full Match : Mumbai","","ML: 0.818; RR: 81.8","ML: 0.818; RR: 81.8"
"Can I switch my flight to a different location?","Change flight location","change flight location","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 0.882; RR: 88.2","ML: 0.882; RR: 88.2"
"I need to change the destination of my flight for 94123456789","Change flight location","change flight location","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","FM Engine","systemEntity","","ML: 0.817; RR: 81.69999999999999","ML: 0.817; RR: 81.69999999999999"
"Can you change the date of my booked flight?","Change flight date","change flight date","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"I want to travel on another date","Change flight date","change flight date","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; FM: 10595.71; RR: 100","ML: 100; FM: 10595.71; RR: 100"
"Please change my flight reservation date","Change flight date","change flight date","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 100; RR: 100","ML: 100; RR: 100"
"Can I change the date of my flight AI2145 to Thursday?","Change flight date","change flight date","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"Change my travel date for flight booking my number 94123456789","Change flight date","change flight date","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity","phoneNumberEntity","ML Engine","NER","","ML: 1; FM: 11129.05; RR: 11129.05","ML: 1; FM: 11129.05; RR: 11129.05"
"Need to change the flight booked date to 31-07-2023","Change flight date","change flight date","None","configured","TP","dateEntity","31-07-2023","2023-07-31","False","dateEntity","dateEntity","ML Engine","NER","","ML: 1; RR: 100","ML: 1; RR: 100"
"I need to change the date of my flight AI2145. What are the available options?","Change flight date","change flight date","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.95; RR: 95","ML: 0.95; RR: 95"
"I'd like to reschedule my flight AI2145 to 2023-07-31. Can you help me with that?","Change flight date","change flight date","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,dateEntity","flightNumberEntity > dateEntity","ML Engine","NER","","ML: 0.985; RR: 98.5","ML: 0.985; RR: 98.5"
"I'd like to reschedule my flight AI2145 to 2023-07-31. Can you help me with that?","Change flight date","change flight date","None","configured","TP","dateEntity","2023-07-31","2023-07-31","True","flightNumberEntity,dateEntity","flightNumberEntity > dateEntity","ML Engine","NER","","ML: 0.985; RR: 98.5","ML: 0.985; RR: 98.5"
"I need to book a flight on a different date than the one I originally booked. How can I change it?","Change flight date","change flight date | modify cab details","None","configured | configured","FP","","","","","","phoneNumberEntity","","","","ML: 0.926; RR: 92.60000000000001 | ML: 0.99; RR: 99","ML: 0.926; RR: 92.60000000000001"
"My phone number is 94123456789 and flight number is AI2145. Can I change the date?","Change flight date","get flight details | change flight date","None","configured | configured","FP","phoneNumberEntity","94123456789","None","False","phoneNumberEntity,flightNumberEntity","phoneNumberEntity > flightNumberEntity","","","","ML: 0.736; RR: 73.6 | ML: 0.735; RR: 73.5","ML: 0.735; RR: 73.5"
"My phone number is 94123456789 and flight number is AI2145. Can I change the date?","Change flight date","get flight details | change flight date","None","configured | configured","FP","flightNumberEntity","AI2145","None","False","phoneNumberEntity,flightNumberEntity","phoneNumberEntity > flightNumberEntity","","","","ML: 0.736; RR: 73.6 | ML: 0.735; RR: 73.5","ML: 0.735; RR: 73.5"
"I need to change the booking date of my flight AI2145. Can you help me?","Change flight date","change flight date","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity","flightNumberEntity","ML Engine","NER","","ML: 0.981; RR: 98.1","ML: 0.981; RR: 98.1"
"I'd like to change the reservation date of my flight AI2145 my contact number is 94123456789","Change flight date","change flight date","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.991; RR: 99.1","ML: 0.991; RR: 99.1"
"I'd like to change the reservation date of my flight AI2145 my contact number is 94123456789","Change flight date","change flight date","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","flightNumberEntity,phoneNumberEntity","flightNumberEntity > phoneNumberEntity","ML Engine","NER","","ML: 0.991; RR: 99.1","ML: 0.991; RR: 99.1"
"I need to change the date of my flight.","Change flight date","change flight date","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 99; RR: 99","ML: 99; RR: 99"
"I'd like to change my flight AI2145 from 31-07-2023. Can you help me?","Change flight date","change flight date","None","configured","TP","flightNumberEntity","AI2145","AI2145","True","flightNumberEntity,dateEntity","flightNumberEntity > dateEntity","ML Engine","NER","","ML: 0.986; RR: 98.6","ML: 0.986; RR: 98.6"
"I'd like to change my flight AI2145 from 31-07-2023. Can you help me?","Change flight date","change flight date","None","configured","TP","dateEntity","31-07-2023","2023-07-31","False","flightNumberEntity,dateEntity","flightNumberEntity > dateEntity","ML Engine","NER","","ML: 0.986; RR: 98.6","ML: 0.986; RR: 98.6"
"I need to reschedule my flight AI2145 to 2023-07-31","Change flight date","change flight date","None","configured","TP","","","","","","phoneNumberEntity","","","","ML: 1; RR: 100","ML: 1; RR: 100"
"I'd like to alter the cab booking location my number is 94123456789 and cab number is CN1285","Change cab location","change cab location","None","configured","TP","phoneNumberEntity","94123456789","94123456789","True","phoneNumberEntity,cabNumberEntity","phoneNumberEntity > cabNumberEntity","ML Engine","NER","","ML: 0.995; FM: 11410; RR: 11410","ML: 0.995; FM: 11410; RR: 11410"
"I'd like to alter the cab booking location my number is 94123456789 and cab number is CN1285","Change cab location","change cab location","None","configured","TP","cabNumberEntity","CN1285","CN1285","True","phoneNumberEntity,cabNumberEntity","phoneNumberEntity > cabNumberEntity","ML Engine","NER","","ML: 0.995; FM: 11410; RR: 11410","ML: 0.995; FM: 11410; RR: 11410"
"Modify the cab booking to Seattle here's my phone number 94123456789 and taxi number is CN4753","Change cab location","change cab location","None","configured","TP","cabLocationEntity","Seattle","Seattle","True","cabLocationEntity,phoneNumberEntity,cabNumberEntity","cabLocationEntity > phoneNumberEntity > cabNumberEntity","ML Engine","NER","","ML: 0.999; RR: 99.9","ML: 0.999; RR: 99.9"
"Modify the cab booking to Seattle here's my phone number 94123456789 and taxi number is CN4753","Change cab location","change cab location","None","configured","TP","phoneNumberEntity","94123456789 ","94123456789","True","cabLocationEntity,phoneNumberEntity,cabNumberEntity","cabLocationEntity > phoneNumberEntity > cabNumberEntity","FM Engine","systemEntity","","ML: 0.999; RR: 99.9","ML: 0.999; RR: 99.9"
"Modify the cab booking to Seattle here's my phone number 94123456789 and taxi number is CN4753","Change cab location","change cab location","None","configured","TP","cabNumberEntity","CN4753","CN4753","True","cabLocationEntity,phoneNumberEntity,cabNumberEntity","cabLocationEntity > phoneNumberEntity > cabNumberEntity","ML Engine","NER","","ML: 0.999; RR: 99.9","ML: 0.999; RR: 99.9"
